,Latitude,Longitude,Name,X,Y
62,1.33329506576,103.742153884,CITIBANK JURONG EAST SMRT STATION,17854.3175,35054.6987
63,1.31148732851,103.871347275,CITIBANK KALLANG SMRT STATION,32232.2338,32643.1553
64,1.3210355411,103.912952172,CITIBANK KEMBANGAN SMRT STATION,36862.4335,33699.0574
65,1.29389697291,103.784429608,CITIBANK KENT RIDGE SMRT STATION,22559.0823,30698.1247
66,1.4175890605,103.833061043,CITIBANK KHATIB SMRT STATION,27971.34,44375.3122
67,1.42506906281,103.76209945,CITIBANK KRANJI SMRT STATION,20074.3565,45202.5357
68,1.34410477497,103.720301862,CITIBANK LAKESIDE SMRT STATION,15422.4669,36250.0842
69,1.30742055156,103.862841588,CITIBANK LAVENDAR SMRT STATION,31285.6366,32193.4592
70,1.35161038613,103.864197519,CITIBANK LORONG CHUAN SMRT STATION,31436.478,37079.7471
71,1.27638264457,103.854620763,CITIBANK MARINA BAY SMRT STATION,30370.7638,28761.4381
72,1.43262603482,103.774051197,CITIBANK MARSILING SMRT STATION,21404.4326,46038.1104
73,1.34868319542,103.839320412,CITIBANK MARYMOUNT SMRT STATION,28667.9372,36756.0523
74,1.31257031718,103.838086793,CITIBANK NEWTON SMRT STATION,28530.6568,32762.875
75,1.32045851814,103.843840431,CITIBANK NOVENA SMRT STATION,29170.9782,33635.1137
76,1.29942133387,103.787189783,CITIBANK ONE-NORTH SMRT STATION,22866.277,31308.9745
77,1.30336399692,103.832267259,CITIBANK ORCHARD SMRT STATION,27882.9977,31744.887
78,1.28145413952,103.839078211,CITIBANK OUTRAM PARK SMRT STATION,28641.0,29322.2087
79,1.37300805043,103.949265084,CITIBANK PASIR RIS SMRT STATION,40903.4338,39446.0827
80,1.31810656951,103.893126033,CITIBANK PAYA LEBAR SMRT STATION,34655.9866,33375.1247
81,1.33755128796,103.696942417,CITIBANK PIONEER SMRT STATION,12822.7695,35525.5638
82,1.29447551922,103.806092574,CITIBANK QUEENSTOWN SMRT STATION,24969.9831,30762.0612
83,1.2839332621,103.851463067,CITIBANK RAFFLES PLACE SMRT STATION,30019.3314,29596.3437
84,1.28934817817,103.817043992,CITIBANK REDHILL SMRT STATION,26188.7768,30195.0958
85,1.44902668521,103.820139486,CITIBANK SEMBAWANG SMRT STATION,26533.3762,47851.5309
86,1.35064579504,103.872590477,CITIBANK SERANGOON SMRT STATION,32370.5216,36973.101
87,1.34298327326,103.953590039,CITIBANK SIMEI SMRT STATION,41384.9144,36126.1124
88,1.300170883,103.839412916,CITIBANK SOMERSET SMRT STATION,28678.245,31391.8097
89,1.3028306851,103.875358507,CITIBANK STADIUM SMRT STATION,32678.6621,31685.9551
90,1.33527910507,103.888295694,CITIBANK TAI SENG MRT STATION,34118.3746,35273.9641
91,1.35354742596,103.944958694,CITIBANK TAMPINES SMRT STATION,40424.2842,37294.1991
92,1.32729973605,103.946871852,CITIBANK TANAH MERAH SMRT STATION,40637.3319,34391.868
93,1.27659346907,103.845906621,CITIBANK TANJONG PAGAR SMRT STATION,29400.9489,28784.7436
94,1.27066358514,103.809832442,CITIBANK TELOK BLANGAH SMRT STATION,25386.1737,28129.0562
95,1.28607064302,103.827229824,CITIBANK TIONG BAHRU SMRT STATION,27322.3725,29832.6779
96,1.33296549741,103.847050347,CITIBANK TOA PAYOH HUB SMRT STATION,29528.2025,35018.0731
97,1.33262055411,103.847624633,CITIBANK TOA PAYOH SMRT STATION,29592.1148,34979.9314
98,1.43688030705,103.786463539,CITIBANK WOODLANDS SMRT STATION,22785.7494,46508.4946
99,1.39712886286,103.747329717,CITIBANK YEW TEE SMRT STATION,18430.5868,42113.1021
100,1.38188415819,103.844793732,CITIBANK YIO CHU KANG SMRT STATION,29277.0392,40427.2479
101,1.42951728654,103.835058274,CITIBANK YISHUN SMRT STATION,28193.6021,45694.2754
102,1.29293624285,103.852585892,CITY HALL MRT STATION,30144.2851,30591.8478
103,1.2883860242,103.846555209,CLARKE QUAY MRT STATION,29473.1249,30088.7038
104,1.31520126395,103.765182447,CLEMENTI MRT STATION,20417.1035,33053.8946
105,1.30250853671,103.798226128,COMMONWEALTH MRT STATION,24094.5286,31650.3218
106,1.30854798428,103.889064718,DAKOTA MRT STATION,34204.0253,32318.1745
107,1.29870130663,103.846115155,DHOBY GHAUT MRT STATION,29424.1448,31229.3143
108,1.31140529293,103.778637842,DOVER MRT STATION,21914.5509,32634.1186
109,1.27944619038,103.852840444,DOWNTOWN MRT STATION,30172.6259,29100.1876
110,1.2936577248,103.855081226,ESPLANADE MRT STATION,30421.9935,30671.6278
111,1.3198383468,103.903626852,EUNOS MRT STATION,35824.6205,33566.6464
112,1.33538213733,103.962375707,EXPO MRT STATION,42362.7103,35285.6654
113,1.31190557366,103.853477716,FARRER PARK MRT STATION,30243.5206,32689.3796
114,1.31743915137,103.807379214,FARRER ROAD MRT STATION,25113.2012,33301.2602
115,1.29247892792,103.84432827,FORT CANNING MRT STATION,29225.2834,30541.2748
116,1.27914567316,103.868024688,GARDENS BY THE BAY MRT STATION,31862.5102,29066.9758
117,1.32150583802,103.871900626,GEYLANG BAHRU MRT STATION,32293.7994,33750.9518
118,1.2938147349,103.833725122,GREAT WORLD MRT STATION,28045.2447,30688.9788
119,1.31950521494,103.660552957,GUL CIRCLE MRT STATION,8772.8553,33530.3675
120,1.26538938442,103.821530157,HARBOURFRONT MRT STATION,26688.0367,27545.8535
121,1.28257135831,103.781752725,HAW PAR VILLA MRT STATION,22261.1431,29445.8021
122,1.36234486762,103.767418254,HILLVIEW MRT STATION,20666.0675,38266.7898
123,1.31224029607,103.796399122,HOLLAND VILLAGE MRT STATION,23891.2152,32726.4128
124,1.37129229258,103.892380519,HOUGANG MRT STATION,34572.8759,39256.1312
125,1.30517138759,103.855295714,JALAN BESAR MRT STATION,30445.853,31944.7496
126,1.32771717309,103.678375144,JOO KOON MRT STATION,10756.3544,34438.2764
127,1.33315261989,103.742286544,JURONG EAST MRT STATION,17869.0806,35038.9472
